group_name,etfs,n_long,n_short,spread_pct,mom0_cagr,mom0_sharpe,mom0_maxdd,mom_cagr,mom_sharpe,mom_maxdd,bh_cagr,bh_sharpe,bh_maxdd,days
plan_a-F1-n2-sw0-m252,"SPY,IWM,EFA,EEM,IYR,QQQ,LQD,IEF,TIP,GLD,USO,DBC,FXE",2,0,0.15,11.30972413498952,0.6608682654606849,-42.03503548959843,10.157042405493177,0.6056859671193412,-43.58080313606602,7.4127323159264735,0.6022583725762444,-39.14105879093348,5067
plan_a-E-c15-250,"SPY,IWM,EFA,EEM,IYR,QQQ,LQD,IEF,TIP,GLD,USO,DBC,FXE",4,1,0.15,10.209462305401985,0.7362987512143491,-26.900190155589364,9.02853347218655,0.6624453413532381,-28.506384667248565,7.412733467228905,0.6022584752525424,-39.14106693735867,5067
plan_a-E-c20-200,"SPY,IWM,EFA,EEM,IYR,QQQ,LQD,IEF,TIP,GLD,USO,DBC,FXE",4,1,0.15,10.5848144774763,0.7509370942164671,-27.381748992706754,9.405335956256211,0.6784239068745174,-28.977378414845813,6.782728810209004,0.5900625103784388,-37.162682882330486,5067
plan_a-F1-n2-sw0-m5,"SPY,IWM,EFA,EEM,IYR,QQQ,LQD,IEF,TIP,GLD,USO,DBC,FXE",2,0,0.15,11.4148825382562,0.6716008422270291,-34.47965685065143,10.123446504180379,0.6091498357597482,-34.77420355327936,7.412731813390194,0.6022584396460835,-39.14106754506142,5067
plan_a-F1-n2-sw0-m4,"SPY,IWM,EFA,EEM,IYR,QQQ,LQD,IEF,TIP,GLD,USO,DBC,FXE",2,0,0.15,11.905015979650457,0.6922434931797097,-34.47968311957737,10.810763531974077,0.6399753052104292,-34.774229704113324,7.412732676381739,0.602258453355271,-39.141063988179766,5067
plan_a-E-c20-250,"SPY,IWM,EFA,EEM,IYR,QQQ,LQD,IEF,TIP,GLD,USO,DBC,FXE",4,1,0.15,10.441030090992708,0.7480549265274848,-27.38173442771268,9.272182295148056,0.6754033662171633,-28.977364169886222,7.4127327242569985,0.6022583100080493,-39.14106434717755,5067
plan_a-E-c30-300,"SPY,IWM,EFA,EEM,IYR,QQQ,LQD,IEF,TIP,GLD,USO,DBC,FXE",4,1,0.15,9.329992424366761,0.6815788813339252,-27.787909974822366,8.17868471738108,0.6090677286265033,-29.395827956722933,7.590361985432192,0.6099840068275493,-38.934501396254916,5067
plan_a-E-c20-300,"SPY,IWM,EFA,EEM,IYR,QQQ,LQD,IEF,TIP,GLD,USO,DBC,FXE",4,1,0.15,10.168505328002908,0.7357423452368377,-27.381800252934564,8.99004207831573,0.6617796965281454,-28.977428548740548,7.590361340980478,0.609983985461838,-38.934500161098676,5067
plan_a-F1-n2-sw02-m252,"SPY,IWM,EFA,EEM,IYR,QQQ,LQD,IEF,TIP,GLD,USO,DBC,FXE",2,1,0.15,11.932614548221764,0.6840109407709473,-36.87737070354243,10.56330037743245,0.6195840887201763,-38.65295449102154,7.412732087861218,0.6022584771187515,-39.1410709091486,5067
plan_a-E-c30-250,"SPY,IWM,EFA,EEM,IYR,QQQ,LQD,IEF,TIP,GLD,USO,DBC,FXE",4,1,0.15,9.393974187271814,0.6812928267544012,-27.77237307408521,8.239818965296752,0.6092139487851868,-29.42302453384722,7.412732323829041,0.6022584589381268,-39.14106356907855,5067
