group_name,etfs,n_long,n_short,spread_pct,mom0_cagr,mom0_sharpe,mom0_maxdd,mom_cagr,mom_sharpe,mom_maxdd,bh_cagr,bh_sharpe,bh_maxdd,days
plan_d-B-sw05,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,1,0.15,11.92945527873357,0.6782243916787016,-31.663791811896257,10.291786315353102,0.602158693216186,-31.97080538608593,8.329053007461628,0.6456001563022116,-38.93198625430936,5067
plan_d-A-n5,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",5,1,0.15,11.8440620421276,0.8246108926754612,-34.67517037024417,10.776578245993363,0.7602413896474824,-34.83185589360092,8.329053428980249,0.6456001661623518,-38.931972193819284,5067
plan_d-B-sw005,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,1,0.15,10.371646580189298,0.7136287859306623,-31.061176226904553,9.27717416985383,0.6493288798757822,-31.267979721193374,8.329054659156899,0.6456002544946392,-38.93199087255551,5067
plan_d-B-sw02,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,1,0.15,11.060131005870488,0.7371028631331233,-31.06117498995108,9.788627254876015,0.6648558558604337,-31.267797632703065,8.329053432284873,0.6456001787288271,-38.93198810262389,5067
plan_d-A-n4,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,1,0.15,11.060134576299907,0.7371030152844621,-31.061176100288492,9.788630784428376,0.6648560122095559,-31.26779873971255,8.329053744847226,0.6456002021894067,-38.93199563684953,5067
plan_d-C-ct06,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,1,0.15,9.76825123250995,0.6575409294627426,-28.143994647785973,8.477201997157291,0.5842335618300365,-29.829571316258573,8.32905390492833,0.6456001898379701,-38.93199303567615,5067
plan_d-B-sw03,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,1,0.15,11.425509147540257,0.7289343880389394,-31.061181245833126,10.033348251734964,0.653880620586049,-31.26780386983501,8.329054724686792,0.6456002877095044,-38.931982653085214,5067
plan_d-A-n2,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",2,1,0.15,10.083941309189948,0.5595204232165888,-37.75108507238708,8.42972023527726,0.4882066986854735,-39.44751287714109,8.329054337964447,0.6456002206956465,-38.93197464258606,5067
plan_d-B-sw01,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,1,0.15,10.619758859833993,0.7266577320092976,-31.06118575302518,9.466292985631796,0.659183773487241,-31.267808363518192,8.329054034562876,0.6456003103239029,-38.93198723161058,5067
plan_d-A-n3,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",3,1,0.15,11.0393417685825,0.676804116982419,-29.102668263570507,9.598959658484208,0.6034779690630481,-30.06816387983362,8.329053650115291,0.6456003343830028,-38.931979692934874,5067
plan_d-B-sw0,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,0,0.15,10.10500460771877,0.6955522998164722,-31.996362263833944,9.069469602192237,0.634881151229908,-33.6104412851164,8.329053734741464,0.6456002333674188,-38.93197639838385,5067
plan_d-A-n1,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",1,1,0.15,10.481737546499215,0.49139862179547933,-48.38677891713689,8.608748837726864,0.4326189428284591,-53.15328728660938,8.329053893903303,0.6456003332382975,-38.93197634968618,5067
plan_d-A-n6,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",6,1,0.15,11.821810126320266,0.8594522119349064,-33.74212492711275,10.88252539510519,0.7996374811299563,-33.907620592543374,8.329054057024399,0.6456001197366407,-38.931989101223884,5067
plan_d-C-ct08,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,1,0.15,10.89988958275896,0.7232046607460683,-28.144010579552948,9.602838599287345,0.6500078562315106,-28.519018445355705,8.329053007461628,0.6456001563022116,-38.93198625430936,5067
plan_d-B-sw04,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,1,0.15,11.71541110552723,0.7073859856143802,-31.088758856493303,10.200198081542865,0.6311785027288196,-31.388050171787864,8.329053628680994,0.6456001853483051,-38.93198225525195,5067
plan_d-C-ct09,"SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,GLD,SLV,USO,IYR,VTV",4,1,0.15,10.312951001791015,0.6935481476711037,-31.061186999140112,9.042745311969513,0.6210710307765761,-31.26780960589828,8.329053428980249,0.6456001661623518,-38.931972193819284,5067
