Date,PDBC,SLV,IAU,MTUM,USO,UNG,GSG,DBA,GLD,DBC,QMOM,PDP,FDMO,XMMO,INDA,MCHI,EPI,FXI,EWJ,EWT,VNM,THD,EWY,EIDO,EWS,EWA,EWG,EWQ,EWU,EWL,EWP,EWI,EWN,TUR,EWW,EWZ,EWC,UAE,KSA,ARGT,ECH,EIS,EZA,VWO,VXUS,EEM,VEA,EFA,XLK,XLV,XLF,XLC,XLRE,XLY,XLP,XLI,XLE,XLU,XLB,ERUS
2005-12-19 05:00:00+00:00,,,10.053999900817873,,,,,,50.220001220703125,,,,,15.378329277038574,,,,13.105786323547363,37.60307693481445,10.786162376403809,,,31.49505615234375,,7.00796365737915,7.587462902069092,12.66557788848877,15.122698783874512,17.26983070373535,12.991596221923828,16.523296356201172,26.82925796508789,12.655920028686523,,23.15586280822754,14.03817367553711,14.49721336364746,,,,,,21.57608985900879,17.23973274230957,,19.09368896484375,,32.913414001464844,8.231338500976562,22.69775009155273,17.310712814331055,,,12.8619966506958,14.020263671875,21.33249282836914,14.11998176574707,7.978371620178223,9.570806503295898,
2005-12-20 05:00:00+00:00,,,9.81999969482422,,,,,,49.040000915527344,,,,,15.431809425354004,,,,13.252337455749512,37.972286224365234,10.856717109680176,,,31.729490280151367,,7.042743682861328,7.623178005218506,12.560237884521484,14.962905883789062,17.287811279296875,12.91131591796875,16.451122283935547,26.65496826171875,12.49289321899414,,23.39002227783203,14.288004875183104,14.490543365478516,,,,,,21.565031051635746,17.3254337310791,,19.25772476196289,,32.91886520385742,8.200439453125,22.66937065124512,17.387165069580078,,,12.834760665893556,13.937660217285156,21.346092224121094,14.312335014343262,7.990886688232422,9.535308837890623,
2005-12-21 05:00:00+00:00,,,9.881999969482422,,,,,,49.369998931884766,,,,,15.53879165649414,,,,13.344457626342772,38.51190185546875,10.962550163269045,,,32.38151550292969,,7.060131072998047,7.714452743530273,12.603614807128906,15.088457107543944,17.287811279296875,12.938077926635742,16.523296356201172,26.78825187683105,12.565349578857422,,23.695735931396484,14.73167610168457,14.643918991088867,,,,,,21.788423538208008,17.585386276245117,,19.570486068725582,,33.07719039916992,8.208162307739258,22.74034118652344,17.436307907104492,,,12.846433639526367,13.978960037231444,21.454933166503903,14.34300708770752,7.918313503265381,9.719243049621582,
2005-12-22 05:00:00+00:00,,,10.050000190734863,,,,,,50.13999938964844,,,,,15.699259757995604,,,,13.29211711883545,38.852725982666016,10.865535736083984,,,32.33755874633789,,7.042743682861328,7.6827073097229,12.64698886871338,15.15122890472412,17.341751098632812,12.931390762329102,16.64508628845215,27.024045944213867,12.649887084960938,,23.650205612182617,14.585220336914062,14.650588035583496,,,,,,22.18433952331543,17.56824493408203,,19.574859619140625,,33.26826095581055,8.246790885925293,22.889385223388672,17.556447982788086,,,12.850326538085938,13.990764617919922,21.618188858032227,14.32628059387207,7.953346729278564,9.81927490234375,
2005-12-23 05:00:00+00:00,,,10.03600025177002,,,,,,50.119998931884766,,,,,15.779500961303713,,,,13.343802452087402,38.93259048461914,11.058164596557615,,,32.728145599365234,,7.078813552856445,7.652702331542969,12.706814765930176,15.135053634643556,17.35009002685547,12.8634033203125,16.654752731323242,26.852617263793945,12.620834350585938,,23.621206283569336,14.691728591918944,14.67677116394043,,,,,,22.257661819458008,17.691083908081055,,19.69162940979004,,33.251583099365234,8.262240409851074,22.91777992248535,17.57828712463379,,,12.87367820739746,13.967162132263184,21.65900039672852,14.287246704101562,7.968364715576172,9.848315238952637,
2005-12-27 05:00:00+00:00,,,10.130000114440918,,,,,,50.63999938964844,,,,,15.619022369384766,,,,13.234878540039062,38.10545349121094,11.00465488433838,,,32.78709030151367,,7.069794654846191,7.56639289855957,12.70058250427246,15.07150936126709,17.192529678344727,12.91051959991455,16.677772521972656,26.737642288208008,12.60229206085205,,23.43007469177246,14.44189739227295,14.428351402282717,,,,,,22.077173233032227,17.571016311645508,,19.47268486022949,,32.94575500488281,8.192709922790527,22.73324203491211,17.441770553588867,,,12.764713287353516,13.872746467590332,21.46853828430176,13.866294860839844,7.953346729278564,9.787004470825195,
2005-12-28 05:00:00+00:00,,,10.29599952697754,,,,,,51.470001220703125,,,,,15.672517776489258,,,,13.249826431274414,38.78997421264648,11.067082405090332,,,32.97134017944336,,7.087831020355225,7.681472778320312,12.744208335876465,15.129273414611816,17.173994064331055,12.937445640563965,16.70998764038086,26.87352561950684,12.657918930053713,,23.13348960876465,14.46381378173828,14.70362949371338,,,,,,22.12003517150879,17.582637786865234,,19.525758743286133,,33.184852600097656,8.1734037399292,22.73324203491211,17.403541564941406,,,12.788060188293455,13.89045238494873,21.50255584716797,14.075377464294434,7.913303852081299,9.870901107788086,
2005-12-29 05:00:00+00:00,,,10.31999969482422,,,,,,51.470001220703125,,,,,15.663597106933594,,,,13.301084518432615,38.81850814819336,11.165180206298828,,,33.05241012573242,,7.096847534179688,7.743120193481445,12.762901306152344,15.158158302307127,17.28521728515625,13.058608055114746,16.700788497924805,26.96759986877441,12.639376640319824,,23.634382247924805,14.674193382263184,14.75733757019043,,,,,,22.390764236450195,17.725099563598633,,19.527971267700195,,33.19598388671875,8.12705135345459,22.655176162719727,17.387165069580078,,,12.78416633605957,13.855042457580566,21.495744705200195,13.96665382385254,7.898285388946533,9.854766845703123,
2005-12-30 05:00:00+00:00,,,10.345999717712402,,,,,,51.58000183105469,,,,,15.601197242736816,,,,13.16012954711914,38.561798095703125,11.129508018493652,,,32.97870635986328,,7.123899459838867,7.730791568756103,12.65696144104004,15.00796127319336,17.2203369140625,12.998023986816406,16.650150299072266,26.737642288208008,12.55902862548828,,23.535524368286133,14.625985145568848,14.70362949371338,,,,,,22.16065216064453,17.69892692565918,,19.516923904418945,,33.045841217041016,8.072970390319824,22.51322364807129,17.294330596923828,,,12.706335067749023,13.742934226989746,21.37330436706543,14.025195121765137,7.855743885040283,9.770869255065918,
2006-01-03 05:00:00+00:00,,,10.642000198364258,,,,,,53.119998931884766,,,,,15.76167106628418,,,,13.452722549438477,39.78825378417969,11.521892547607422,,,34.20206069946289,,7.322288513183594,7.886968612670898,13.06203269958496,15.574087142944336,17.75789451599121,13.475943565368652,17.188737869262695,27.75154685974121,12.96695041656494,,24.524133682250977,15.265894889831545,15.072897911071776,,,,,,23.4736328125,18.286182403564453,,20.24673080444336,,34.152374267578125,8.231338500976562,22.790019989013672,17.583749771118164,,,12.84255027770996,13.831440925598145,21.516157150268555,14.691463470458984,8.008405685424805,9.97739028930664,
