Date,CNA,INA,JPA,KRA,VNA,IDA,SGA,AUA,DEA,GBA,FRA,NLA,ITA,ESA,TRA,CAA,MXA,BRA,ARA,SAA,ZAA
2005-12-15 00:00:00-05:00,,,37.20546340942383,31.64890480041504,,,6.999270439147949,7.639053821563721,12.516862869262695,17.21588706970215,15.037092208862305,12.535158157348633,26.665231704711914,16.401500701904297,,14.50387954711914,23.630691528320312,14.6282958984375,,,21.100553512573242
2005-12-16 00:00:00-05:00,,,37.716670989990234,31.355852127075195,,,6.999270439147949,7.646992206573486,12.684167861938477,17.386701583862305,15.151226997375488,12.680072784423828,26.829261779785156,16.57742691040039,,14.563897132873535,23.39002799987793,14.443075180053711,,,21.11603546142578
2005-12-19 00:00:00-05:00,,,37.60307693481445,31.49505615234375,,,7.007963180541992,7.587464809417725,12.665578842163086,17.26983070373535,15.122692108154297,12.655922889709473,26.829261779785156,16.523292541503906,,14.497209548950195,23.155866622924805,14.03817367553711,,,21.57608985900879
2005-12-20 00:00:00-05:00,,,37.97229766845703,31.7294921875,,,7.0427422523498535,7.6231794357299805,12.560242652893066,17.287809371948242,14.962911605834961,12.49289321899414,26.65497589111328,16.451120376586914,,14.49053955078125,23.39002799987793,14.287997245788574,,,21.565025329589844
2005-12-21 00:00:00-05:00,,,38.51191711425781,32.38151550292969,,,7.06013298034668,7.714450359344482,12.60361385345459,17.287809371948242,15.088455200195312,12.565352439880371,26.788251876831055,16.523292541503906,,14.643918991088867,23.69573402404785,14.731673240661621,,,21.788421630859375
2005-12-22 00:00:00-05:00,,,38.85273361206055,32.33755874633789,,,7.0427422523498535,7.682703495025635,12.646989822387695,17.34175682067871,15.151226997375488,12.649887084960938,27.024044036865234,16.64508628845215,,14.65058708190918,23.650205612182617,14.585222244262695,,,22.184335708618164
2005-12-23 00:00:00-05:00,,,38.932594299316406,32.72814178466797,,,7.078810691833496,7.652702331542969,12.70681381225586,17.350088119506836,15.135054588317871,12.62083625793457,26.852622985839844,16.654754638671875,,14.676772117614746,23.62120819091797,14.691726684570312,,,22.25765609741211
2005-12-27 00:00:00-05:00,,,38.10545349121094,32.787109375,,,7.069796562194824,7.566394329071045,12.700580596923828,17.192533493041992,15.07150936126709,12.602287292480469,26.737642288208008,16.67776870727539,,14.428351402282715,23.43007469177246,14.441895484924316,,,22.07716941833496
2005-12-28 00:00:00-05:00,,,38.78998947143555,32.971351623535156,,,7.087830066680908,7.681471824645996,12.744205474853516,17.173995971679688,15.12927532196045,12.657917976379395,26.87351417541504,16.709993362426758,,14.703622817993164,23.13349151611328,14.463810920715332,,,22.12003517150879
2005-12-29 00:00:00-05:00,,,38.81851577758789,33.052398681640625,,,7.0968475341796875,7.74312162399292,12.76290225982666,17.28520965576172,15.158156394958496,12.639376640319824,26.96759605407715,16.700788497924805,,14.757339477539062,23.63438606262207,14.674195289611816,,,22.390758514404297
2005-12-30 00:00:00-05:00,,,38.56180191040039,32.97871017456055,,,7.123900413513184,7.7307915687561035,12.656961441040039,17.22032928466797,15.007964134216309,12.559027671813965,26.737642288208008,16.65015411376953,,14.703622817993164,23.535526275634766,14.625982284545898,,,22.1606502532959
2006-01-03 00:00:00-05:00,,,39.788230895996094,34.20205307006836,,,7.322290897369385,7.886967182159424,13.062034606933594,17.75789451599121,15.57408618927002,12.966950416564941,27.75153160095215,17.18873405456543,,15.072891235351562,24.524139404296875,15.265897750854492,,,23.473634719848633
2006-01-04 00:00:00-05:00,,,40.15903854370117,34.30522537231445,,,7.403445720672607,8.002047538757324,13.261452674865723,17.961795806884766,15.770493507385254,13.102926254272461,27.89787483215332,17.340648651123047,,15.254178047180176,24.985488891601562,15.66912841796875,,,23.403696060180664
2006-01-05 00:00:00-05:00,,,39.873817443847656,34.17994689941406,,,7.412464141845703,7.989716053009033,13.21159839630127,17.859846115112305,15.747384071350098,12.997855186462402,27.720176696777344,17.29922103881836,,15.025901794433594,24.649362564086914,15.73487377166748,,,23.191631317138672
2006-01-06 00:00:00-05:00,,,40.472774505615234,34.87268829345703,,,7.511657238006592,8.076025009155273,13.336236953735352,18.15641975402832,15.943798065185547,13.177091598510742,28.117380142211914,17.492551803588867,,15.173604011535645,25.01185417175293,16.1074275970459,,,24.015073776245117
2006-01-09 00:00:00-05:00,,,40.672428131103516,34.98322296142578,,,7.5567474365234375,8.076025009155273,13.255218505859375,18.082277297973633,15.88025188446045,13.140007019042969,27.741086959838867,17.39128303527832,,15.066183090209961,25.361160278320312,16.392318725585938,,,24.188783645629883
2006-01-10 00:00:00-05:00,,,39.93085861206055,34.31996536254883,,,7.493622303009033,8.026707649230957,13.174206733703613,17.943262100219727,15.828261375427246,13.01639461517334,27.803800582885742,17.276199340820312,,15.133318901062012,24.952539443969727,16.190702438354492,,,24.098541259765625
2006-01-11 00:00:00-05:00,,,40.35869216918945,34.415767669677734,,,7.5567474365234375,8.084245681762695,13.298843383789062,18.073013305664062,15.966904640197754,13.121465682983398,28.09646987915039,17.47874641418457,,15.220601081848145,25.407299041748047,16.383556365966797,,,24.61968231201172
2006-01-12 00:00:00-05:00,,,40.07345962524414,34.165199279785156,,,7.4485321044921875,8.002047538757324,13.174206733703613,17.961795806884766,15.770493507385254,12.966950416564941,27.772451400756836,17.290016174316406,,15.113182067871094,25.24252700805664,16.45368194580078,,,24.139158248901367
2006-01-13 00:00:00-05:00,,,40.130516052246094,34.40840148925781,,,7.4846062660217285,8.096575736999512,13.192903518676758,18.128623962402344,15.805150985717773,12.942231178283691,27.908334732055664,17.29461669921875,,15.193739891052246,25.156848907470703,16.5238094329834,,,24.522676467895508
2006-01-17 00:00:00-05:00,,,38.90406036376953,33.4429931640625,,,7.43049955368042,8.100685119628906,13.124348640441895,17.952526092529297,15.683839797973633,12.800073623657227,27.793354034423828,17.18413734436035,,15.281030654907227,24.550500869750977,16.25206184387207,,,23.87519645690918
2006-01-18 00:00:00-05:00,,,37.76318359375,32.86079788208008,,,7.3583574295043945,7.969165325164795,12.999711990356445,17.78569793701172,15.550982475280762,12.651738166809082,27.73063087463379,17.00920295715332,,14.999043464660645,24.37914276123047,16.0197696685791,,,23.70149040222168
2006-01-19 00:00:00-05:00,,,38.78998947143555,33.59037399291992,,,7.403445720672607,8.06369686126709,13.037105560302734,17.896913528442383,15.67229175567627,12.787711143493652,27.647014617919922,17.225563049316406,,15.254178047180176,24.787765502929688,16.79555320739746,,,25.030269622802734
2006-01-20 00:00:00-05:00,,,37.67761993408203,32.020660400390625,,,7.304253101348877,7.997935771942139,12.781597137451172,17.75789451599121,15.446999549865723,12.552847862243652,27.249826431274414,16.940160751342773,,15.301172256469727,24.44505500793457,16.45368194580078,,,24.470781326293945
2006-01-23 00:00:00-05:00,,,38.24806594848633,32.58811950683594,,,7.403445720672607,8.076025009155273,13.030874252319336,17.989599227905273,15.712724685668945,12.800073623657227,27.87696647644043,17.243976593017578,,15.556300163269043,24.570280075073242,16.87883186340332,,,25.09568977355957
2006-01-24 00:00:00-05:00,,,38.90406036376953,33.627227783203125,,,7.3944292068481445,8.076025009155273,13.055802345275879,17.989599227905273,15.718501091003418,12.824792861938477,27.803800582885742,17.216360092163086,,15.46230697631836,25.275474548339844,17.356576919555664,,,25.064105987548828
2006-01-25 00:00:00-05:00,,,38.56180191040039,34.135719299316406,,,7.421482086181641,8.170553207397461,13.217824935913086,18.165691375732422,15.770493507385254,12.954590797424316,27.83515739440918,17.363662719726562,,15.415306091308594,25.282075881958008,17.203168869018555,,,25.075395584106445
2006-01-26 00:00:00-05:00,,,39.445980072021484,34.76950454711914,,,7.4846062660217285,8.27330207824707,13.535655975341797,18.24910545349121,16.01311683654785,13.133830070495605,28.190547943115234,17.538589477539062,,15.569729804992676,25.7895565032959,17.838699340820312,,,24.97612953186035
2006-01-27 00:00:00-05:00,,,40.330177307128906,35.40328598022461,,,7.610851287841797,8.310290336608887,13.573049545288086,18.332523345947266,16.122875213623047,13.090563774108887,28.08603286743164,17.497156143188477,,15.737579345703125,25.605024337768555,17.672149658203125,,,25.49275016784668
2006-01-30 00:00:00-05:00,,,40.130516052246094,35.270633697509766,,,7.5928144454956055,8.289740562438965,13.610432624816895,18.193496704101562,16.099769592285156,13.14618968963623,28.002408981323242,17.54779052734375,,15.912142753601074,25.440256118774414,17.92197608947754,,,25.361896514892578
2006-01-31 00:00:00-05:00,,,39.9879150390625,35.5285758972168,,,7.5928144454956055,8.384272575378418,13.678990364074707,18.267642974853516,16.203746795654297,13.177091598510742,28.169645309448242,17.713512420654297,,16.032995223999023,25.598434448242188,18.119211196899414,,,25.921390533447266
2006-02-01 00:00:00-05:00,,,39.873817443847656,35.005332946777344,,,7.637903213500977,8.343170166015625,13.778702735900879,18.388132095336914,16.215299606323242,13.263623237609863,28.200998306274414,17.76875114440918,,16.00613784790039,25.776390075683594,17.90883445739746,,,26.309423446655273
2006-02-02 00:00:00-05:00,,,39.27485656738281,34.36418914794922,,,7.511657238006592,8.199324607849121,13.54811954498291,18.184234619140625,15.984233856201172,13.14618968963623,27.908334732055664,17.639862060546875,,15.905427932739258,25.479795455932617,17.466150283813477,,,26.086074829101562
2006-02-03 00:00:00-05:00,,,39.61711120605469,33.641971588134766,,,7.520675182342529,8.137675285339355,13.485800743103027,18.073013305664062,15.972681045532227,13.183274269104004,27.709735870361328,17.607635498046875,,15.898709297180176,25.143674850463867,17.365345001220703,,,25.517560958862305
