group_name,etfs,n_long,n_short,spread_pct,mom0_cagr,mom0_sharpe,mom0_maxdd,mom_cagr,mom_sharpe,mom_maxdd,bh_cagr,bh_sharpe,bh_maxdd,days
plan_b-A-n6,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",6,1,0.15,8.689466213434782,0.7095855939507101,-22.30795314129529,7.748406483024395,0.6420147281357179,-22.525316100355642,5.111586201506757,0.5399933422014298,-32.47006502716863,5067
plan_b-B-sw01,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,10.082773494514917,0.7069288654127271,-30.158078553847865,9.10836964837567,0.6484157966530085,-30.92964088613416,5.111586895505726,0.5399935037897026,-32.470069735050714,5067
plan_b-B-sw04,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,10.25884629332654,0.6356397761644779,-35.87129684035876,8.925718996167165,0.5674843462153123,-36.95955497944654,5.111586606826424,0.5399933172904045,-32.470070250809414,5067
plan_b-B-sw005,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,9.941348784097869,0.7025264884837092,-29.600366842301497,9.026283257596578,0.6471209776387795,-30.33103792032873,5.111586529481316,0.5399932043797567,-32.47007237067411,5067
plan_b-A-n5,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",5,1,0.15,8.837230661630935,0.6700323118782983,-25.799733982991192,7.837984018653366,0.6045045280328427,-26.531178910617072,5.111586376512878,0.5399933500323033,-32.47008132475877,5067
plan_b-B-sw0,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,0,0.15,9.825741926756626,0.6958130051202424,-29.118478562386507,8.969689106219336,0.6439322441325132,-29.80674892638271,5.111586819567782,0.5399933513896966,-32.47006904871349,5067
plan_b-A-n1,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",1,1,0.15,9.058635425873685,0.45197881249423605,-57.4334917444967,7.202624413852998,0.3910274812354654,-58.4320151434367,5.111586318501349,0.5399931272320927,-32.47008285950783,5067
plan_b-C-ct06,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,9.880042394874922,0.6720073782522312,-31.218956800244268,8.699022164420178,0.6039002027671097,-32.070657005252315,5.111586423974024,0.5399933477369875,-32.47007486734299,5067
plan_b-A-n3,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",3,1,0.15,10.961267860604806,0.6721380335410047,-39.95403560465459,9.697283099097941,0.6078173047018397,-40.652984254306986,5.111586178207417,0.539993160491254,-32.47006906215108,5067
plan_b-A-n4,"SPY,EFA,IYR,EEM,TLT,IEF,USO,GLD,UUP,FXE,DBC,TIP,SLV",4,1,0.15,10.182781724375744,0.69412852278274,-31.449724191816497,9.091139165086837,0.6307977634580648,-32.29856996178751,5.111586892411002,0.5399934394527683,-32.47006256984349,5067
