Date,momentum,buy_hold
2008-01-31,1.0,1.0
2008-02-01,0.9875250790078937,1.0047829384305798
2008-02-04,0.9926317888182573,1.0013006457922309
2008-02-05,0.983212804852677,0.9819529293496265
2008-02-06,0.9819909983791649,0.9749334123060721
2008-02-07,0.9860362208359652,0.979005251007548
2008-02-08,1.001556598090951,0.9841022075184982
2008-02-11,1.007422063118079,0.9882838781731571
2008-02-12,0.998514826626724,0.9901709144472179
2008-02-13,1.001324729227518,0.9963738406121783
2008-02-14,1.0100817836246005,0.9933674768251233
2008-02-15,1.009083099791194,0.9936338133138551
2008-02-19,1.0269419481418107,1.001049166199874
2008-02-20,1.0321085365524256,1.0062860470337507
2008-02-21,1.0279642793941326,1.0004843431359942
2008-02-22,1.0338382612678545,1.0068446336223411
2008-02-25,1.0345830699777827,1.0137084191702945
2008-02-26,1.0453534591105509,1.0233724938375848
2008-02-27,1.046531178886525,1.0247616262889863
2008-02-28,1.0574903928525705,1.02651365920008
2008-02-29,1.0521082780015614,1.0144027481253386
2008-03-03,1.0599032209299177,1.0168212355499697
2008-03-04,1.0466289872768133,1.0081582556903772
2008-03-05,1.0683747140872253,1.0191702441671722
2008-03-06,1.0623580029198236,1.0075922387647391
2008-03-07,1.0567621953427249,1.0040903380325041
2008-03-10,1.0607695566836157,1.0011546494227141
2008-03-11,1.0779161821032524,1.0224809855618215
2008-03-12,1.079751518411461,1.0235600387562522
2008-03-13,1.081445307366625,1.026240010780628
2008-03-14,1.0736860797617132,1.0164370785294168
2008-03-17,1.0554123468897456,1.0042034666888138
2008-03-18,1.0696913770132643,1.0254010187731306
2008-03-19,1.0359878559629607,1.0028524292895502
2008-03-20,1.023463539656664,1.006062077914061
2008-03-24,1.0316874435283687,1.0166300858234276
2008-03-25,1.0442723948414416,1.0261381267685716
2008-03-26,1.057865259770119,1.029593481521437
2008-03-27,1.0603518601871629,1.026842336184578
2008-03-28,1.049539091894199,1.0203469608132898
2008-03-31,1.0367239837846096,1.01691103866486
2008-04-01,1.0258648456135067,1.0290198097734935
2008-04-02,1.043174875518652,1.0371583840162832
2008-04-03,1.0439739916475705,1.0414411664640788
2008-04-04,1.050508784334455,1.045353983297251
2008-04-07,1.0585835560971746,1.0493679278430428
2008-04-08,1.058177285827517,1.0456908459535166
2008-04-09,1.070274875741751,1.0453758851002783
2008-04-10,1.0661374329030398,1.0458541733026792
2008-04-11,1.0660400719918914,1.0382981119065124
2008-04-14,1.0692109847389917,1.0373916843118278
2008-04-15,1.0757954337714914,1.0420943873589315
2008-04-16,1.0846298407654296,1.0597150558533992
2008-04-17,1.0818724815765923,1.0568074916210022
2008-04-18,1.0799960633000063,1.0623817089946133
2008-04-21,1.0819572301162335,1.0638764112290864
2008-04-22,1.0853666165929685,1.0603737875665131
2008-04-23,1.0805900281815919,1.0617565624550724
2008-04-24,1.066839130772976,1.0565080035218835
2008-04-25,1.0743260794007496,1.0624367968136552
2008-04-28,1.0761820282071428,1.0651429383271043
2008-04-29,1.061407348876509,1.0553465770593964
2008-04-30,1.062440289685372,1.0560498232929294
2008-05-01,1.0409541622712672,1.0583850517207916
2008-05-02,1.0526504633077145,1.0635124465972159
2008-05-05,1.0688050971671055,1.069512954844908
2008-05-06,1.0730694622557306,1.0757647574667681
2008-05-07,1.0787959973032981,1.0657075813750327
2008-05-08,1.0858889401562672,1.0726797853475025
2008-05-09,1.0940096066791092,1.0734687101044706
2008-05-12,1.079569736515441,1.077900665346711
2008-05-13,1.0776499474711092,1.077351291986232
2008-05-14,1.071579190316318,1.075244701540781
2008-05-15,1.0770503078359273,1.0864021317052623
2008-05-16,1.0881453488622308,1.0938651821839698
2008-05-19,1.0888367025093426,1.0946408957331994
2008-05-20,1.100607185526862,1.094500985804586
2008-05-21,1.1221376945158106,1.0932616720621162
2008-05-22,1.109079106736101,1.088207008870845
2008-05-23,1.1175883644579705,1.0856448499745135
2008-05-27,1.099359319339901,1.0828484481370688
2008-05-28,1.1010848218226552,1.0849078891097592
2008-05-29,1.0783882418795236,1.0783018325876736
2008-05-30,1.082753562676969,1.0831041297934292
2008-06-02,1.0841092246183173,1.0799955471221439
2008-06-03,1.069456247114691,1.0727160230624475
2008-06-04,1.061424708913295,1.0695893369168747
2008-06-05,1.0832830783134304,1.0874938311803666
2008-06-06,1.1019815431940359,1.0854554835948136
2008-06-09,1.0957785997714522,1.078358343295105
2008-06-10,1.0817002872128079,1.067442877715983
2008-06-11,1.0961187833206583,1.0671020974729744
2008-06-12,1.0945474638748491,1.0643509970465712
